Abstract,Author Keywords
"While road obstacle detection techniques have become increasingly effective, they typically ignore the fact that, in practice, the apparent size of the obstacles decreases as their distance to the vehicle increases. In this letter, we account for this by computing a scale map encoding the apparent size of a hypothetical object at every image location. We then leverage this perspective map to (i) generate training data by injecting onto the road synthetic objects whose size corresponds to the perspective foreshortening; and (ii) incorporate perspective information in the decoding part of the detection network to guide the obstacle detector. Our results on standard benchmarks show that, together, these two strategies significantly boost the obstacle detection performance, allowing our approach to consistently outperform state-of-the-art methods in terms of instance-level obstacle detection.",Roads; Cameras; Training data; Feature extraction; Training; Optical imaging; Computer architecture; Computer vision for transportation; data sets for robotic vision; deep learning for visual perception; object detection; segmentation and categorization
"The transportation system undergoes severe impacts due to potholes and the presence of stray animals on the roads resulting in accidents and fatal injuries. The utilization of intelligent transportation systems would reduce accidents and impart safety to the overall transportation network. This research aims to impart transportation safety through a real-time alert warning system for avoiding accidents due to potholes and the presence of stray animals. The study incorporates real-time detection of transportation entities like vehicles, animals, and pedestrians through a YOLO v3 computer vision algorithm processed on the GPU environment for a higher frame rate. The potholes and animal hotspots are mapped to form a geospatial database on which the buffer tool of geographic information system (GIS) is applied. The buffer zone was implemented on the geospatial layer to alert the driver in real-time, while the vehicle approaches the buffer zone. The system yields high precision of 0.976 mean average precision (mAP) score of entity detection and the real-time alert warning alerts the driver to ensure transportation safety while avoiding any possible accidents or fatal crashes.",Advanced driver assistance systems (ADAS); Intelligent transportation system; Geographic information system (GIS); Computer vision; Transportation safety; Intelligent system
"We present ResMLP, an architecture built entirely upon multi-layer perceptrons for image classification. It is a simple residual network that alternates (i) a linear layer in which image patches interact, independently and identically across channels, and (ii) a two-layer feed-forward network in which channels interact independently per patch. When trained with a modern training strategy using heavy data-augmentation and optionally distillation, it attains surprisingly good accuracy/complexity trade-offs on ImageNet. We also train ResMLP models in a self-supervised setup, to further remove priors from employing a labelled dataset. Finally, by adapting our model to machine translation we achieve surprisingly good results. We share pre-trained models and our code based on the Timm library.",Transformers; Training; Computer architecture; Machine translation; Decoding; Task analysis; Knowledge engineering; Multi-layer perceptron; computer-vision; NLP
"Traditional manual visual inspections have demonstrated certain shortcomings in post -earthquake assessment of urban buildings, such as being time-consuming and laborious. In contrast, computer vision (CV) and unmanned aerial vehicle (UAV) approaches have revealed competitive potentials in the fields of automatic data acquisition, data processing, and autono-mous decision-making. In UAV images, structural components of post-earthquake buildings often present different scales, which are affected by different local damage. Therefore, acquiring the feature information of structural components has precisely been significant for refined damage assessment of post-earthquake buildings. This study proposes a geometry-informed deep learning -based structural component segmentation of post-earthquake buildings. An Enhanced UNet model is established with a new synthetical loss function containing the geometric consistency (GC) term. Given an edge closure of a connected domain for homogeneous structural components, the GC term comprises split line loss and area loss to adapt to the circumference and area con-straints of each component region. The Enhanced UNet network is designed to improve the extraction capability of high-level features, and it includes six encoder stages (superior to five in the original version), of which the bottom four stages have many convolution layers, and five corresponding decoders. The investigated synthetic QuakeCity dataset includes 4,809 images with a resolution of 1,920 x 1,080 pixels. Training and test results reveal that compared to the original UNet, the proposed method achieves a more stable training process and higher test ac-curacy for structural component segmentation. The proposed method can achieve a mIoU of 97.97 %, which is 1.29 % higher than that of the original UNet. In addition, misrecognition of inner voids inside structural components is addressed, which further validates the optimization efficiency of the proposed geometric constraints. Ablation experiments are conducted to confirm the effectiveness of the proposed GC loss and Enhanced UNet network. The proposed method shows good generalization ability in robustness tests in complex real-world scenarios under various disturbances, including abnormal exposure and rain lines in various intensities.",Geometry -informed deep learning; Geometric consistency loss; Enhanced UNet; Structural component segmentation; Post -earthquake assessment
"Plant disease has a considerable influence on the safety of grain output and quality. Therefore, it is crucial to detect and diagnose plant diseases. Most plant diseases are reflected in plant leaves, and accurate identification of plant diseases require specialized knowledge. Generally, it is difficult for farmers to accurately identify plant disease. Consequently, accurate and timely automatic recognition of plant disease is extremely needed in the area of precision agricultural. To solving this challenge, many classical computer vision and deep learning-based research models have been proposed. Due to the successful performance, deep learning became the preferred approach for plant disease identification. We design a novel transformer block by use of transformer architecture to model long-range features, and of soft split token embedding to capture local information from surrounding pixels and patches, in this paper. Furthermore, inception architecture and cross channel feature learning can improve the information richness, which is especially beneficial to fine-grained feature learning. The proposed model obtains higher accuracy than previous convolution and vision transformer-based models, achieves 99.94% accuracy on VillagePlant, 99.22% accuracy on ibean, 86.89% accuracy on AI2018, and 77.54% accuracy on PlantDoc. The experiment results show its preponderance over the existing models.",Plant disease identification; Deep learning; Vision transformer; Inception convolution
"Vision-based analysis of waterbodies can provide important information required for monitoring, analyzing, and managing water resource systems, such as visual flood detection, delineation, and mapping. Water, however, is an ornery object in image processing, as it can be found in different forms and colors in nature. This makes the detection, classification, and tracking of water in images and videos difficult for computer vision models. There are still visual differences resulting from water texture and its inherent optical properties associated with different waterbodies which can be recognized and extracted to support computer models to better analyze water images. This study aims to utilize a set of early, mid-level, and high-level vision techniques, including Gabor kernels, local binary patterns (LBPs), and deep learning (DL) models to extract and analyze water texture and color of different waterbodies in digital images. For this purpose, ATLANTIS TeXture (ATeX), an image dataset for waterbodies classification and texture analysis, was used. Models were trained for the task of classification on ATeX. Then, the performance of each model in extracting texture features was evaluated and compared. Results showed that the classification accuracy achieved by the Gabor magnitude tensor, LBP, and DL model (ShuffleNet V2 x 1.0) are 29, 35, and 92%, respectively, and thus the DL model outperforms traditional vision-based techniques. Moreover, the classification results on raw images represented by different color spaces (e.g., RGB, HSV, etc.) emphasized the importance of color information for digital image processing of water. Analyzing representative visual features and properties of different water types and waterbodies can facilitate designing a customized Convolutional Neural Networks (CNNs) for water scenes, as CNNs recognize objects through the analysis of both texture and shape clues and their relationship in the entire field of view.",ATLANTIS TeXture; computer vision; machine learning; water texture analysis
"Vision Transformers (ViTs), with the magnificent potential to unravel the information contained within images, have evolved as one of the most contemporary and dominant architectures that are being used in the field of computer vision. These are immensely utilized by plenty of researchers to perform new as well as former experiments. Here, in this article, we investigate the intersection of vision transformers and medical images. We proffered an overview of various ViT based frameworks that are being used by different researchers to decipher the obstacles in medical computer vision. We surveyed the applications of Vision Transformers in different areas of medical computer vision such as image-based disease classification, anatomical structure segmentation, registration, region-based lesion detection, captioning, report generation, and reconstruction using multiple medical imaging modalities that greatly assist in medical diagnosis and hence treatment process. Along with this, we also demystify several imaging modalities used in medical computer vision. Moreover, to get more insight and deeper understanding, the self-attention mechanism of transformers is also explained briefly. Conclusively, the ViT based solutions for each image analytics task are critically analyzed, open challenges are discussed and the pointers to possible solutions for future direction are deliberated. We hope this review article will open future research directions for medical computer vision researchers.",Vision Transformers; Medical image analysis; Self attention; Medical computer vision; Diagnostic image analysis; Literature survey
"Semantic segmentation for large-scale point clouds in 3D computer vision remains challenging. Most existing studies focus on creating complex local geometry extractors without considering the sparsity of point clouds and the multi-scale problem of objects in large-scale, resulting in networks that fail to efficiently extract local features and affect segmentation accuracy. In this study, we propose a novel Feature Affine Residual (FA-Res) learnable module for this problem to learn robust point cloud semantic information from the point cloud domain. First, we create a Local Relation-shape Learning module to learn local shape relationships, thereby supplementing the structural information. Second, we propose a lightweight Feature Affine module that can conduct adaptive modifications on local point features to reduce differences between local point clouds with varying densities and the K-nearest neighbor (KNN) algorithm's domain determination. Finally, we design a Residual MLP Pooling module that can learn deep aggregation features to explore more sophisticated semantic data and provide better guidance for semantic segmentation. We compare our network with state-of-the-art networks on two separate datasets to show its effectiveness. Specifically, our method achieves 68.1% mIoU on S3DIS tested on Area 5, which is an improvement of 2.7% compared with the latest representative network.",Point clouds; 3D computer vision; Semantic segmentation; Residual MLP; Feature affine
"Human beings have a natural ability to perceive invisible things around them based on materials. This paper examines the problems encountered during image outpainting, which is widely utilized in computational photography, image editing and computer graphics. Although considerable progress has been made in image outpainting, problems such as semantic ambiguity, structural confusion and poor quality still arise. Inspired by the idea that humans draw a boundary contour, paint it with color, and then fill the content, we propose a three -stage GAN model, defined as the ECPIO network. The first-stage model is an edge prediction network (EP-net) that is used to predict the edge map of missing areas. The second-stage model is a color prediction network (CP-Net) that is utilized to predict the color map in the missing area, and the third-stage model is an image out -painting network (IO-Net) that is employed to generate the outpainting results. Since edge and semantics constrain the extended area, we introduce edge and semantic information to the discriminator to guide the image generation. Our method achieved a good performance with a PSNR of 27.15 and an SSIM of 0.78 for the City-scapes dataset. The experimental results for other public datasets also show that our method can recover accurate semantic content and accurate structure information of missing regions. In addition, our method achieves good effects in semantic coherence, structure vision, color vision and texture vision. Our method has a wide range of intelligent image processing systems, such as computer photography, image editing, and image restoration.",Image outpainting; Image extrapolation; Image completion; GAN; Edge prediction; Color prediction
"Orientation estimation is one of the core problems in several computer vision tasks. Recently deep learning techniques combined with the Bingham distribution have attracted considerable interest towards this problem when considering ambiguities and rotational symmetries of objects. However, existing works suffer from two issues. First, the computational overhead for calculating the normalisation constant of the Bingham distribution is relatively high. Second, the choice of loss functions is uncertain. In light of these problems, we present an online deep Bingham network to estimate the orientation of objects. We sharply reduce the computational overhead of the normalisation constant by directly applying a numerical integration formula. Additionally, we are the first to give theorems on the convexity and Lipschitz continuity of the Bingham distribution's negative log-likelihood, which formally indicates that it is a proper choice of the loss function. We test our method on three public datasets, namely the UPNA, the T-LESS and Pascal3D+, showing that our method outperforms the state-of-the-art in terms of orientation accuracy and time efficiency, which can reduce the runtime by more than 6 h compared to the offline methods. The ablation experiments further demonstrate the effectiveness and robustness of our model.",computer vision; pose estimation; probability; robot vision
"3D object matching and registration on point clouds are widely used in computer vision. However, most existing point cloud registration methods have limitations in handling non-rigid point sets or topology changes (e.g. connections and separations). As a result, critical characteristics such as large inter-frame motions of the point clouds may not be accurately captured. This paper proposes a statistical algorithm for non-rigid point sets registration, addressing the challenge of handling topology changes without the need to estimate correspondence. The algorithm uses a novel Break and Splice framework to treat the non-rigid registration challenges as a reproduction process and a Dirichlet Process Gaussian Mixture Model (DPGMM) to cluster a pair of point sets. Labels are assigned to the source point set with an iterative classification procedure, and the source is registered to the target with the same labels using the Bayesian Coherent Point Drift (BCPD) method. The results demonstrate that the proposed approach achieves lower registration errors and efficiently registers point sets undergoing topology changes and large inter-frame motions. The proposed approach is evaluated on several data sets using various qualitative and quantitative metrics. The results demonstrate that the Break and Splice framework outperforms state-of-the-art methods, achieving an average error reduction of about 60% and a registration time reduction of about 57.8%.",non-rigid registration; point cloud; topology changes; Gaussian Mixture Model; computer vision
"Deep learning in computer vision is becoming increasingly popular and useful for tracking object movement in many application areas, due to data collection burgeoning from the rise of the Internet of Things (IoT) and Big Data. So far, computer vision has been used in industry predominantly for quality inspection purposes such as surface defect detection; however, an emergent research area is the application for process monitoring involving tracking moving machinery in real time. In steelmaking, the deployment of computer vision for process monitoring is hindered by harsh environments, poor lighting conditions and fume presence. Therefore, application of computer vision remains unplumbed. This paper proposes a novel method for tracking hot metal ladles during pouring in poor lighting. The proposed method uses contrast-limited adaptive histogram equalisation (CLAHE) for contrast enhancement, Mask R-CNN for segmentation prediction and Kalman filters for improving predictions. Pixel-level tracking enables pouring height and rotation angle estimation which are controllable parameters. Flame severity is also estimated to indicate process quality. The method has been validated with real data collected from ladle pours. Currently, no publications presenting a method for tracking ladle pours exist. The model achieved a mean average precision (mAP) of 0.61 by the Microsoft Common Objects in Context (MSCOCO) standard. It measures key process parameters and process quality in processes with high variability, which significantly contributes to process enhancement through root-cause analysis, process optimisation and predictive maintenance. With real-time tracking, predictions could automate ladle controls for closed-loop control to minimise emissions and eliminate variability from human error.",Computer vision; Deep learning; Manufacturing; Remote condition monitoring; Segmentation
"Hand dysfunction caused by hand injuries, strokes, or other neurological degenerative diseases such as cervical spondylosis is being increasingly reported. Currently, hand function assessments for diagnosis or rehabilitation are primarily based on qualitative scales, which are subjective and may vary considerably depending on the expertise of the attending clinician. Although wearable sensors and computer vision techniques have been proposed to obtain quantitative hand movement information, both have limitations. In this study, a multiview video tracking and recording system was set up using high-speed cameras and mapping of actual hand movements. The state-of-the-art software DeepLabCut was used to obtain precise 2D and 3D finger joint positions. Kinematic parameters, such as movement count, period, phase, and Pearson coefficient were used to characterize hand movement based on the relative distance-time curves of finger joints. Experimental results in a clinical setting showed that this video-based image-recognition neural network method can accurately distinguish healthy from dysfunctional hand movements. The proposed system is inexpensive, easy to set up and use, and exhibits high accuracy. Thus, it can revolutionize medical hand motion analysis and spur the development of automated quantitative systems for early hand-related disorder detection.",Hand function; Computer vision; Machine learning; Quantitative assessment; Cervical spondylosis
"The data acquired in civil engineering tasks often involve high acquisition costs, and the available datasets tend to have a limited number of samples and are highly biased. To estimate the performance of machine learning models, k-fold cross-validation (k-CV) is widely used. However, if only limited data are available and the data distribution is biased, k-CV tends to overestimate the performance for practical applications. This study proposed a new estimator, leave one reference out and k-CV (LORO-k-CV), to determine the practical performance of machine learning models, that is, the generalization performance for population data in the target task, in case data are collected by multiple references resulting in biased data. LORO-k-CV is a combination of a new concept, LORO-CV, that estimates the performance in the extrapolation region of the training data without human intervention and k-CV, considering the ratio of the interpolation and extrapolation regions. The efficacy of LORO-k-CV was validated with its application to the regression task for the chloride-ion concentration of concrete structures. To more specifically demonstrate the advantages of LORO-k-CV in model construction, the feature selections were conducted using both k-CV and LORO-k-CV methods. These results revealed that LORO-k-CV can effectively construct a model with improved generalization performance even from the same data in cases where data are collected by multiple references, resulting in biased data.",
"Automatic Visual Captioning (AVC) generates syntactically and semantically correct sentences by describing important objects, attributes, and their relationships with each other. It is classified into two categories: image captioning and video captioning. It is widely used in various applications such as assistance for the visually impaired, human-robot interaction, video surveillance systems, scene understanding, etc. With the unprecedented success of deep-learning in Computer Vision and Natural Language Processing, the past few years have seen a surge of research in this domain. In this survey, the state-of-the-art is classified based on how they conceptualize the captioning problem, viz., traditional approaches that cast visual description either as retrieval or template-based description and deep learning approaches. A detailed review of existing methods, highlighting their pros and cons, societal impact as the number of citations, architectures used, datasets experimented on and GitHub link is presented. Moreover, the survey also provides an overview of the benchmark image and video datasets and the evaluation measures that have been developed to assess the quality of machine-generated captions. It is observed that dense or paragraph generation and Change Image Captioning (CIC) are stimulating the research community more due to the near-to-human abstraction ability. Finally, the paper explores future directions in the area of automatic visual caption generation.",Visual Captioning; Image Captioning; Video Captioning; Change Image Captioning (CIC); LSTM; CNN; RNN; Computer Vision (CV); Natural Language Processing (NLP)
"Computer vision-based detection approaches have been widely used in defect inspection tasks. However, identifying small-sized defects is still a challenge for most existing methods. It is mainly because: (1) the existing methods fail to extract sufficient information from the small-sized defects; (2) the existing detectors cannot generate effective region proposals for small-sized defects, which results in a low recall rate. To address the above issues, an adaptive loss weighting multi-task model with attention-guide proposal generation is proposed. First, the proposed multi-task model can excavate contextual information to enrich the feature information of small-sized defect areas, enhancing the model's representation capability. Additionally, to improve the recall rate of small-sized defects, an object attention-guide proposal generation module is proposed by leveraging object attention to guide the confidence enhancement of small-sized defects, which can generate more high-quality region proposals for small-sized defects. Finally, to speed up the joint optimization of the proposed multi-task framework, an adaptive loss weighting algorithm is proposed to learn the optimal combination of multi-task loss functions by maintaining the gradient direction consistency and tuning each task's loss magnitude. The experimental results on the two public defect datasets demonstrate that the proposed method outperforms other state-of-the-art methods.",Multi-task learning; Proposal generation; Adaptive loss weighting algorithm; Surface defect detection; Small object detection; Computer vision
"Gastrointestinal cancer is a prevalent disease, and analyzing pathological images is crucial for its diagnosis and treatment. Considering the characteristics of pathological images, we propose a novel cell nucleus segmentation method based on Vision Transform, namely NST. Our proposed method consists of a Deformable Attention Transformer (DAT) encoder capturing four different levels of feature; a Coordinate Attention Module (CAM) handling shallow-level features in different dimensions; a Dense Aggregation Module (DAM) integrating deep-level features; and a Similarity Aggregation Module (SAM) combining features to generate pixel-level segmentation predictions. Meanwhile, to fill the data gap in the field of cell nucleus segmentation, we acquire, annotate and present a new dataset of gastrointestinal cancer pathology images named GCNS. Moreover, we conducted a series of experiments, and the experimental results indicate that our proposed method achieves state-of-the-art performance, as high as a 0.725 Dice Score on the GCNS dataset.",Deep learning; Computer vision; Medical image segmentation; Nuclei segmentation; Gastrointestinal cancer diagnosis
"To mitigate the current COVID-19 pandemic, policy makers at the Greater London Authority, the regional governance body of London, UK, are reliant upon prompt, accurate and actionable estimations of lockdown and social distancing policy adherence. Transport for London, the local transportation department, reports they implemented over 700 interventions such as greater signage and expansion of pedestrian zoning at the height of the pandemic's first wave with our platform providing key data for those decisions. Large well-defined heterogeneous compositions of pedestrian footfall and physical proximity are difficult to acquire, yet necessary to monitor city-wide activity (busyness) and consequently discern actionable policy decisions. To meet this challenge, we leverage our existing large-scale data processing urban air quality machine learning infrastructure to process over 900 camera feeds in near real-time to generate new estimates of social distancing adherence, group detection and camera stability. In this work, we describe our development and deployment of a computer vision and machine learning pipeline. It provides near immediate sampling and contextualization of activity and physical distancing on the streets of London via live traffic camera feeds. We introduce a platform for inspecting, calibrating and improving upon existing methods, describe the active deployment on real-time feeds and provide analysis over an 18 month period.",COVID-19; Computer Vision; Real-time; Computers and Society; Machine Learning; Policy Intervention; Change Point Detection; Social Distancing
"Pedestrian detection (PD) is a vital computer vision (CV) problem that is highly employed in several real-time applications, namely autonomous driving methods, robotics, and security observing methods. Simulated by deep learning (DL) approaches to the recognition of generic objects, several investigation mechanisms have attained maximum recognition accuracy for acceptable scale and non-blocked pedestrians. However, the detection efficiency needed to be improved for complex cases like rare pose samples, crowd scenes, and cases with worse visibility due to daytime or weather. Therefore, this study develops a multimodal pedestrian detection system in crowded scenes using metaheuristics and a deep convolutional neural network (MMPD-MDCNN) technique. The MMPD-MDCNN technique's goal is to identify pedestrians in crowd scenes using different deep-learning models effectively. The proposed MMPD-MDCNN technique integrates three deep learning models: the residual network (ResNet-50), Inception v3, and the capsule network (CapsNet). In addition, the Harris Hawks Optimization (HHO) algorithm is applied for optimal hyperparameter tuning of the deep learning models. For pedestrian detection, the MMPD-MDCNN technique uses the long short-term memory (LSTM) model, and its hyperparameters can be adjusted by the shark smell optimization (SSO) algorithm. To demonstrate the superior performance of the MMPD-MDCNN approach, A comprehensive set of simulations on the INRIA and UCSD datasets was performed to illustrate the superior performance of the MMPD-MDCNN approach. The experimental results suggest that the MMPD-MDCNN model performs well on both datasets.",Pedestrian detection; Computer vision; Crowded scenes; Multi-modal; Deep learning; Hyperparameter tuning
"Hand gesture recognition (HGR) is the most important part of human-computer interaction (HCI). Static hand gesture recognition is equivalent to the classification of hand gesture images. At present, the classification of hand gesture images mainly uses the Convolutional Neural Network (CNN) method. The Vision Transformer architecture (ViT) proposes not to use the convolutional layers at all but to use the multi-head attention mechanism to learn global information. Therefore, this paper proposes a static hand gesture recognition method based on the Vision Transformer. This paper uses a self-made dataset and two publicly available American Sign Language (ASL) datasets to train and evaluate the ViT architecture. Using the depth information provided by the Microsoft Kinect camera to capture the hand gesture images and filter the background, then use the eight-connected discrimination algorithm and the distance transformation algorithm to remove the redundant arm information. The resulting images constitute a self-made dataset. At the same time, this paper studies the impact of several data augmentation strategies on recognition performance. This paper uses accuracy, F1 score, recall, and precision as evaluation metrics. Finally, the validation accuracy of the proposed model on the three datasets achieves 99.44%, 99.37%, and 96.53%, respectively, and the results obtained are better than those obtained by some CNN structures.",Hand gesture recognition; Vision Transformer; Arm removal; Data augmentation
"Convolutional neural networks (CNN) have transformed the field of computer vision by enabling the automatic extraction of features, obviating the need for manual feature engineering. Despite their success, identifying an optimal architecture for a particular task can be a time-consuming and challenging process due to the vast space of possible network designs. To address this, we propose a novel neural architecture search (NAS) framework that utilizes the clonal selection algorithm (CSA) to automatically design high-quality CNN architectures for image classification problems. Our approach uses an integer vector representation to encode CNN architectures and hyperparameters, combined with a truncated Gaussian mutation scheme that enables efficient exploration of the search space. We evaluated the proposed method on six challenging EMNIST benchmark datasets for handwritten digit recognition, and our results demonstrate that it outperforms nearly all existing approaches. In addition, our approach produces state-of-the-art performance while having fewer trainable parameters than other methods, making it low-cost, simple, and reusable for application to multiple datasets.",clonal selection algorithm (CSA); computer vision; convolutional neural networks (CNN); deep learning EMNIST; neural architecture search (NAS)
